Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22066215,19,0.913,0.042,0.921,0.002,0.764,0.947,1.4659576059677337e-37
B.1.617.2,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.1,,,,,,,,
BA.2.36,0,nan,nan,,,,,
AY.124,0,nan,nan,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,0,nan,nan,,,,,
AY.43,0,nan,nan,,,,,
BA.4,0,nan,nan,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,0,nan,nan,,,,,
BA.1.17,,,,,,,,
No_variant,18,0.912,0.042,,,,,
