Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21348973,311,269,42,0.632,0.086,0.638,0.007,0.5,0.843
BA.3,7,3,4,0.472,0.041,0.479,0.002,0.407,0.521
AY.43,22,10,12,0.413,0.107,0.41,0.011,0.236,0.639
B.1.1.7,6,3,3,0.493,0.02,0.479,0.0,0.479,0.521
BA.4,5,3,2,0.443,0.036,0.443,0.001,0.407,0.479
AY.127,20,10,10,0.422,0.11,0.41,0.012,0.236,0.639
BA.2,7,3,4,0.472,0.041,0.479,0.002,0.407,0.521
BA.5.1,7,3,4,0.472,0.041,0.479,0.002,0.407,0.521
C.39,5,2,3,0.493,0.02,0.479,0.0,0.479,0.521
BA.1,8,3,5,0.468,0.037,0.479,0.001,0.407,0.521
B.1.617.2,2,0,0,,,,,,
AY.124,20,10,10,0.422,0.11,0.41,0.012,0.236,0.639
BA.2.36,7,3,4,0.472,0.041,0.479,0.002,0.407,0.521
BA.1.1.1,8,3,5,0.468,0.037,0.479,0.001,0.407,0.521
B.1.177,2,0,0,,,,,,
BA.1.17,8,3,5,0.468,0.037,0.479,0.001,0.407,0.521
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.493,0.02,0.479,0.0,0.479,0.521
BA.1.1,8,3,5,0.468,0.037,0.479,0.001,0.407,0.521
AY.122,20,10,10,0.422,0.11,0.41,0.012,0.236,0.639
Non_variant,286,259,27,0.652,0.084,0.668,0.007,0.5,0.843
