Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22215549,3,0.88,0.081,0.929,0.006,0.766,0.944,0.0007079114251358703
B.1.617.2,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.1,,,,,,,,
BA.2.36,2,0.936,0.011,,,,,
AY.124,0,nan,nan,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,0,nan,nan,,,,,
BA.4,2,0.936,0.011,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,2,0.936,0.011,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,2,0.936,0.011,,,,,
BA.1.17,,,,,,,,
No_variant,1,0.766,0.0,,,,,
