Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
43464908,314,258,56,0.697,0.098,0.699,0.01,0.503,0.842
BA.3,10,7,3,0.436,0.119,0.389,0.014,0.32,0.6
AY.43,10,5,5,0.682,0.177,0.8,0.031,0.371,0.839
B.1.1.7,19,16,3,0.587,0.079,0.6,0.006,0.485,0.676
BA.4,7,5,2,0.494,0.105,0.494,0.011,0.389,0.6
AY.127,11,5,6,0.622,0.21,0.7,0.044,0.32,0.839
BA.2,9,7,2,0.494,0.105,0.494,0.011,0.389,0.6
BA.5.1,9,7,2,0.494,0.105,0.494,0.011,0.389,0.6
C.39,5,0,0,,,,,,
BA.1,10,7,3,0.436,0.119,0.389,0.014,0.32,0.6
B.1.617.2,2,0,0,,,,,,
AY.124,11,5,6,0.622,0.21,0.7,0.044,0.32,0.839
BA.2.36,9,7,2,0.494,0.105,0.494,0.011,0.389,0.6
BA.1.1.1,10,7,3,0.436,0.119,0.389,0.014,0.32,0.6
B.1.177,2,0,0,,,,,,
BA.1.17,10,7,3,0.436,0.119,0.389,0.014,0.32,0.6
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,10,7,3,0.436,0.119,0.389,0.014,0.32,0.6
AY.122,10,5,5,0.682,0.177,0.8,0.031,0.371,0.839
Non_variant,287,240,47,0.699,0.097,0.704,0.009,0.503,0.842
