Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21065493,55,0.705,0.108,0.689,0.012,0.505,0.897,1.469635036516787e-37
B.1.617.2,0,nan,nan,,,,,
AY.127,2,0.586,0.434,,,,,
BA.1,6,0.698,0.292,,,,,
BA.2.36,5,0.764,0.272,,,,,
AY.124,2,0.586,0.434,,,,,
BA.1.1.1,6,0.698,0.292,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.896,0.002,,,,,
BA.3,6,0.698,0.292,,,,,
AY.43,2,0.586,0.434,,,,,
BA.4,3,0.676,0.345,,,,,
AY.122,2,0.586,0.434,,,,,
B.1.1.7,10,0.652,0.264,,,,,
BA.1.1,6,0.698,0.292,,,,,
BA.5.1,5,0.764,0.272,,,,,
B.1.1,3,0.896,0.002,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,5,0.764,0.272,,,,,
BA.1.17,6,0.698,0.292,,,,,
No_variant,43,0.694,0.099,,,,,
