Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21314860,116,84,31,0.709,0.072,0.709,0.005,0.562,0.846
BA.3,6,5,1,0.154,0.0,0.154,0.0,0.154,0.154
AY.43,25,17,8,0.239,0.047,0.248,0.002,0.154,0.309
B.1.1.7,4,0,0,,,,,,
BA.4,7,6,1,0.154,0.0,0.154,0.0,0.154,0.154
AY.127,25,17,8,0.239,0.047,0.248,0.002,0.154,0.309
BA.2,7,6,1,0.154,0.0,0.154,0.0,0.154,0.154
BA.5.1,8,7,1,0.154,0.0,0.154,0.0,0.154,0.154
C.39,3,0,0,,,,,,
BA.1,6,5,1,0.154,0.0,0.154,0.0,0.154,0.154
B.1.617.2,2,0,0,,,,,,
AY.124,25,17,8,0.239,0.047,0.248,0.002,0.154,0.309
BA.2.36,7,6,1,0.154,0.0,0.154,0.0,0.154,0.154
BA.1.1.1,6,5,1,0.154,0.0,0.154,0.0,0.154,0.154
B.1.177,2,0,0,,,,,,
BA.1.17,6,5,1,0.154,0.0,0.154,0.0,0.154,0.154
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,6,5,1,0.154,0.0,0.154,0.0,0.154,0.154
AY.122,25,17,8,0.239,0.047,0.248,0.002,0.154,0.309
Non_variant,90,67,23,0.691,0.07,0.679,0.005,0.562,0.832
