Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21173223,41,0.703,0.101,0.725,0.01,0.52,0.858,6.970370162003977e-30
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,3,0.275,0.0,,,,,
BA.2.36,3,0.275,0.0,,,,,
AY.124,,,,,,,,
BA.1.1.1,3,0.275,0.0,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.275,0.0,,,,,
BA.3,3,0.275,0.0,,,,,
AY.43,,,,,,,,
BA.4,,,,,,,,
AY.122,,,,,,,,
B.1.1.7,8,0.534,0.246,,,,,
BA.1.1,3,0.275,0.0,,,,,
BA.5.1,3,0.275,0.0,,,,,
B.1.1,3,0.275,0.0,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.275,0.0,,,,,
BA.1.17,3,0.275,0.0,,,,,
No_variant,33,0.701,0.102,,,,,
