Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21173223,172,134,38,0.691,0.095,0.718,0.009,0.52,0.836
BA.3,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
AY.43,3,2,1,0.275,0.0,0.275,0.0,0.275,0.275
B.1.1.7,17,10,7,0.488,0.209,0.463,0.044,0.275,0.804
BA.4,4,3,1,0.275,0.0,0.275,0.0,0.275,0.275
AY.127,3,2,1,0.275,0.0,0.275,0.0,0.275,0.275
BA.2,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
BA.5.1,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
C.39,4,1,3,0.275,0.0,0.275,0.0,0.275,0.275
BA.1,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
B.1.617.2,1,0,0,,,,,,
AY.124,3,2,1,0.275,0.0,0.275,0.0,0.275,0.275
BA.2.36,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
BA.1.1.1,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
B.1.177,1,0,0,,,,,,
BA.1.17,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
B.1,1,0,0,,,,,,
B.1.1,4,1,3,0.275,0.0,0.275,0.0,0.275,0.275
BA.1.1,6,3,3,0.275,0.0,0.275,0.0,0.275,0.275
AY.122,3,2,1,0.275,0.0,0.275,0.0,0.275,0.275
Non_variant,155,124,31,0.691,0.097,0.705,0.009,0.52,0.836
