Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21232156,213,166,47,0.703,0.112,0.73,0.012,0.5,0.848
BA.3,9,8,1,0.664,0.0,0.664,0.0,0.664,0.664
AY.43,4,0,0,,,,,,
B.1.1.7,19,0,0,,,,,,
BA.4,6,0,0,,,,,,
AY.127,5,4,1,0.664,0.0,0.664,0.0,0.664,0.664
BA.2,8,0,0,,,,,,
BA.5.1,8,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,9,8,1,0.664,0.0,0.664,0.0,0.664,0.664
B.1.617.2,2,0,0,,,,,,
AY.124,5,4,1,0.664,0.0,0.664,0.0,0.664,0.664
BA.2.36,8,0,0,,,,,,
BA.1.1.1,9,8,1,0.664,0.0,0.664,0.0,0.664,0.664
B.1.177,2,0,0,,,,,,
BA.1.17,9,8,1,0.664,0.0,0.664,0.0,0.664,0.664
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,9,8,1,0.664,0.0,0.664,0.0,0.664,0.664
AY.122,4,0,0,,,,,,
Non_variant,192,146,46,0.704,0.113,0.73,0.013,0.5,0.848
