Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21293205,216,133,83,0.695,0.111,0.72,0.012,0.5,0.849
BA.3,9,4,5,0.604,0.161,0.672,0.026,0.306,0.75
AY.43,25,7,18,0.439,0.199,0.482,0.04,0.155,0.774
B.1.1.7,11,5,6,0.601,0.138,0.621,0.019,0.378,0.752
BA.4,9,3,6,0.586,0.152,0.621,0.023,0.306,0.75
AY.127,25,7,18,0.439,0.199,0.482,0.04,0.155,0.774
BA.2,10,4,6,0.598,0.147,0.621,0.022,0.306,0.75
BA.5.1,11,4,7,0.584,0.141,0.571,0.02,0.306,0.75
C.39,5,4,1,0.571,0.0,0.571,0.0,0.571,0.571
BA.1,9,4,5,0.604,0.161,0.672,0.026,0.306,0.75
B.1.617.2,2,0,0,,,,,,
AY.124,26,7,19,0.441,0.194,0.465,0.037,0.155,0.774
BA.2.36,10,4,6,0.598,0.147,0.621,0.022,0.306,0.75
BA.1.1.1,10,4,6,0.556,0.182,0.621,0.033,0.306,0.75
B.1.177,2,0,0,,,,,,
BA.1.17,9,4,5,0.604,0.161,0.672,0.026,0.306,0.75
B.1,2,0,0,,,,,,
B.1.1,5,4,1,0.571,0.0,0.571,0.0,0.571,0.571
BA.1.1,10,4,6,0.556,0.182,0.621,0.033,0.306,0.75
AY.122,25,7,18,0.439,0.199,0.482,0.04,0.155,0.774
Non_variant,182,123,59,0.705,0.111,0.736,0.012,0.503,0.849
