Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21279108,207,128,79,0.673,0.103,0.672,0.011,0.502,0.843
BA.3,11,3,8,0.483,0.221,0.476,0.049,0.199,0.767
AY.43,25,13,12,0.286,0.132,0.25,0.017,0.176,0.672
B.1.1.7,7,3,4,0.615,0.201,0.712,0.041,0.268,0.767
BA.4,10,4,6,0.427,0.227,0.315,0.052,0.199,0.767
AY.127,26,13,13,0.31,0.15,0.264,0.022,0.176,0.672
BA.2,11,4,7,0.468,0.232,0.362,0.054,0.199,0.767
BA.5.1,12,5,7,0.468,0.232,0.362,0.054,0.199,0.767
C.39,5,3,2,0.712,0.003,0.712,0.0,0.709,0.714
BA.1,11,3,8,0.483,0.221,0.476,0.049,0.199,0.767
B.1.617.2,2,0,0,,,,,,
AY.124,29,16,13,0.31,0.15,0.264,0.022,0.176,0.672
BA.2.36,11,4,7,0.468,0.232,0.362,0.054,0.199,0.767
BA.1.1.1,12,3,9,0.469,0.212,0.363,0.045,0.199,0.767
B.1.177,2,0,0,,,,,,
BA.1.17,11,3,8,0.483,0.221,0.476,0.049,0.199,0.767
B.1,2,0,0,,,,,,
B.1.1,5,3,2,0.712,0.003,0.712,0.0,0.709,0.714
BA.1.1,12,3,9,0.469,0.212,0.363,0.045,0.199,0.767
AY.122,25,13,12,0.286,0.132,0.25,0.017,0.176,0.672
Non_variant,173,112,61,0.657,0.107,0.633,0.011,0.502,0.843
