Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21534064,228,224,4,0.77,0.067,0.779,0.004,0.675,0.848
BA.3,36,0,0,,,,,,
AY.43,26,25,1,0.152,0.0,0.152,0.0,0.152,0.152
B.1.1.7,7,0,0,,,,,,
BA.4,37,0,0,,,,,,
AY.127,27,26,1,0.152,0.0,0.152,0.0,0.152,0.152
BA.2,38,0,0,,,,,,
BA.5.1,40,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,41,0,0,,,,,,
B.1.617.2,15,14,1,0.152,0.0,0.152,0.0,0.152,0.152
AY.124,27,26,1,0.152,0.0,0.152,0.0,0.152,0.152
BA.2.36,38,0,0,,,,,,
BA.1.1.1,41,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,41,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,41,0,0,,,,,,
AY.122,26,25,1,0.152,0.0,0.152,0.0,0.152,0.152
Non_variant,159,156,3,0.744,0.057,0.744,0.003,0.675,0.814
