Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21331783,433,390,43,0.715,0.092,0.743,0.008,0.5,0.84
BA.3,9,7,2,0.636,0.05,0.636,0.003,0.586,0.686
AY.43,24,9,15,0.58,0.202,0.686,0.041,0.191,0.8
B.1.1.7,11,8,3,0.491,0.21,0.586,0.044,0.2,0.686
BA.4,8,7,1,0.586,0.0,0.586,0.0,0.586,0.586
AY.127,23,8,15,0.58,0.202,0.686,0.041,0.191,0.8
BA.2,10,8,2,0.636,0.05,0.636,0.003,0.586,0.686
BA.5.1,10,8,2,0.636,0.05,0.636,0.003,0.586,0.686
C.39,5,4,1,0.686,0.0,0.686,0.0,0.686,0.686
BA.1,9,7,2,0.636,0.05,0.636,0.003,0.586,0.686
B.1.617.2,2,0,0,,,,,,
AY.124,24,8,16,0.559,0.211,0.636,0.044,0.191,0.8
BA.2.36,10,8,2,0.636,0.05,0.636,0.003,0.586,0.686
BA.1.1.1,10,8,2,0.636,0.05,0.636,0.003,0.586,0.686
B.1.177,2,0,0,,,,,,
BA.1.17,9,7,2,0.636,0.05,0.636,0.003,0.586,0.686
B.1,2,0,0,,,,,,
B.1.1,5,4,1,0.686,0.0,0.686,0.0,0.686,0.686
BA.1.1,10,8,2,0.636,0.05,0.636,0.003,0.586,0.686
AY.122,24,8,16,0.561,0.208,0.636,0.043,0.191,0.8
Non_variant,398,373,25,0.72,0.095,0.75,0.009,0.5,0.84
