Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22158904,182,168,14,0.673,0.078,0.658,0.006,0.525,0.787
BA.3,38,35,3,0.576,0.083,0.632,0.007,0.459,0.637
AY.43,10,0,0,,,,,,
B.1.1.7,7,0,0,,,,,,
BA.4,45,41,4,0.556,0.169,0.548,0.029,0.343,0.786
AY.127,10,0,0,,,,,,
BA.2,49,45,4,0.556,0.169,0.548,0.029,0.343,0.786
BA.5.1,44,40,4,0.556,0.169,0.548,0.029,0.343,0.786
C.39,5,0,0,,,,,,
BA.1,36,35,1,0.632,0.0,0.632,0.0,0.632,0.632
B.1.617.2,8,0,0,,,,,,
AY.124,10,0,0,,,,,,
BA.2.36,49,45,4,0.556,0.169,0.548,0.029,0.343,0.786
BA.1.1.1,37,35,2,0.447,0.185,0.447,0.034,0.262,0.632
B.1.177,2,0,0,,,,,,
BA.1.17,37,36,1,0.632,0.0,0.632,0.0,0.632,0.632
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,37,35,2,0.447,0.185,0.447,0.034,0.262,0.632
AY.122,10,0,0,,,,,,
Non_variant,123,115,8,0.678,0.077,0.664,0.006,0.525,0.787
