Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21356272,125,88,37,0.734,0.082,0.742,0.007,0.527,0.849
BA.3,6,3,3,0.79,0.044,0.808,0.002,0.729,0.832
AY.43,26,12,14,0.741,0.058,0.736,0.003,0.646,0.832
B.1.1.7,4,2,2,0.768,0.04,0.768,0.002,0.729,0.808
BA.4,7,4,3,0.799,0.032,0.808,0.001,0.756,0.832
AY.127,24,12,12,0.756,0.048,0.748,0.002,0.667,0.832
BA.2,7,3,4,0.781,0.041,0.782,0.002,0.729,0.832
BA.5.1,8,4,4,0.781,0.041,0.782,0.002,0.729,0.832
C.39,3,2,1,0.729,0.0,0.729,0.0,0.729,0.729
BA.1,7,4,3,0.79,0.044,0.808,0.002,0.729,0.832
B.1.617.2,2,0,0,,,,,,
AY.124,24,12,12,0.756,0.048,0.748,0.002,0.667,0.832
BA.2.36,7,3,4,0.781,0.041,0.782,0.002,0.729,0.832
BA.1.1.1,7,4,3,0.79,0.044,0.808,0.002,0.729,0.832
B.1.177,4,2,2,0.297,0.051,0.298,0.003,0.246,0.349
BA.1.17,7,4,3,0.79,0.044,0.808,0.002,0.729,0.832
B.1,2,0,0,,,,,,
B.1.1,3,2,1,0.729,0.0,0.729,0.0,0.729,0.729
BA.1.1,7,4,3,0.79,0.044,0.808,0.002,0.729,0.832
AY.122,24,12,12,0.756,0.048,0.748,0.002,0.667,0.832
Non_variant,96,75,21,0.732,0.096,0.753,0.009,0.527,0.849
