Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21296445,43,0.709,0.101,0.704,0.01,0.511,0.881,4.066507386964324e-32
B.1.617.2,0,nan,nan,,,,,
AY.127,14,0.487,0.186,,,,,
BA.1,5,0.414,0.122,,,,,
BA.2.36,4,0.336,0.042,,,,,
AY.124,14,0.487,0.186,,,,,
BA.1.1.1,5,0.414,0.122,,,,,
B.1,0,nan,nan,,,,,
C.39,,,,,,,,
BA.3,4,0.405,0.139,,,,,
AY.43,14,0.461,0.193,,,,,
BA.4,4,0.419,0.138,,,,,
AY.122,13,0.478,0.19,,,,,
B.1.1.7,2,0.341,0.072,,,,,
BA.1.1,5,0.414,0.122,,,,,
BA.5.1,5,0.393,0.133,,,,,
B.1.1,,,,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,4,0.336,0.042,,,,,
BA.1.17,5,0.414,0.122,,,,,
No_variant,27,0.735,0.107,,,,,
