Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21024292,131,94,37,0.594,0.055,0.58,0.003,0.51,0.705
BA.3,2,0,0,,,,,,
AY.43,3,2,1,0.479,0.0,0.479,0.0,0.479,0.479
B.1.1.7,2,0,0,,,,,,
BA.4,2,0,0,,,,,,
AY.127,3,2,1,0.479,0.0,0.479,0.0,0.479,0.479
BA.2,2,0,0,,,,,,
BA.5.1,2,0,0,,,,,,
C.39,2,0,0,,,,,,
BA.1,2,0,0,,,,,,
B.1.617.2,2,0,0,,,,,,
AY.124,3,2,1,0.479,0.0,0.479,0.0,0.479,0.479
BA.2.36,2,0,0,,,,,,
BA.1.1.1,2,0,0,,,,,,
B.1.177,4,2,2,0.442,0.018,0.442,0.0,0.424,0.46
BA.1.17,2,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,2,0,0,,,,,,
AY.122,3,2,1,0.479,0.0,0.479,0.0,0.479,0.479
Non_variant,126,92,34,0.598,0.055,0.585,0.003,0.51,0.705
