Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21240639,273,237,36,0.712,0.088,0.736,0.008,0.515,0.848
BA.3,7,5,2,0.453,0.09,0.453,0.008,0.363,0.543
AY.43,6,0,0,,,,,,
B.1.1.7,10,5,5,0.296,0.08,0.329,0.006,0.152,0.365
BA.4,6,5,1,0.363,0.0,0.363,0.0,0.363,0.363
AY.127,7,6,1,0.543,0.0,0.543,0.0,0.543,0.543
BA.2,6,5,1,0.363,0.0,0.363,0.0,0.363,0.363
BA.5.1,6,5,1,0.363,0.0,0.363,0.0,0.363,0.363
C.39,2,0,0,,,,,,
BA.1,8,6,2,0.453,0.09,0.453,0.008,0.363,0.543
B.1.617.2,2,0,0,,,,,,
AY.124,7,6,1,0.543,0.0,0.543,0.0,0.543,0.543
BA.2.36,6,5,1,0.363,0.0,0.363,0.0,0.363,0.363
BA.1.1.1,9,7,2,0.453,0.09,0.453,0.008,0.363,0.543
B.1.177,2,0,0,,,,,,
BA.1.17,8,6,2,0.453,0.09,0.453,0.008,0.363,0.543
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,9,7,2,0.453,0.09,0.453,0.008,0.363,0.543
AY.122,6,0,0,,,,,,
Non_variant,256,226,30,0.719,0.085,0.746,0.007,0.515,0.848
