Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21340000,307,264,43,0.69,0.1,0.702,0.01,0.508,0.847
BA.3,9,8,1,0.235,0.0,0.235,0.0,0.235,0.235
AY.43,24,15,9,0.54,0.261,0.709,0.068,0.225,0.842
B.1.1.7,7,0,0,,,,,,
BA.4,10,7,3,0.447,0.235,0.331,0.055,0.235,0.775
AY.127,22,13,9,0.54,0.261,0.709,0.068,0.225,0.842
BA.2,11,8,3,0.447,0.235,0.331,0.055,0.235,0.775
BA.5.1,12,9,3,0.447,0.235,0.331,0.055,0.235,0.775
C.39,5,0,0,,,,,,
BA.1,10,9,1,0.235,0.0,0.235,0.0,0.235,0.235
B.1.617.2,2,0,0,,,,,,
AY.124,23,14,9,0.54,0.261,0.709,0.068,0.225,0.842
BA.2.36,11,8,3,0.447,0.235,0.331,0.055,0.235,0.775
BA.1.1.1,11,9,2,0.209,0.025,0.21,0.001,0.184,0.235
B.1.177,2,0,0,,,,,,
BA.1.17,10,9,1,0.235,0.0,0.235,0.0,0.235,0.235
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,11,9,2,0.209,0.025,0.21,0.001,0.184,0.235
AY.122,22,13,9,0.54,0.261,0.709,0.068,0.225,0.842
Non_variant,275,243,32,0.667,0.103,0.663,0.011,0.508,0.847
