Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21288203,198,164,34,0.747,0.082,0.77,0.007,0.543,0.844
BA.3,11,9,2,0.77,0.001,0.77,0.0,0.769,0.77
AY.43,26,0,0,,,,,,
B.1.1.7,19,10,9,0.731,0.093,0.769,0.009,0.543,0.844
BA.4,9,8,1,0.77,0.0,0.77,0.0,0.77,0.77
AY.127,25,0,0,,,,,,
BA.2,11,9,2,0.77,0.001,0.77,0.0,0.769,0.77
BA.5.1,11,9,2,0.77,0.001,0.77,0.0,0.769,0.77
C.39,5,3,2,0.77,0.001,0.77,0.0,0.769,0.77
BA.1,11,9,2,0.77,0.001,0.77,0.0,0.769,0.77
B.1.617.2,2,0,0,,,,,,
AY.124,25,0,0,,,,,,
BA.2.36,11,9,2,0.77,0.001,0.77,0.0,0.769,0.77
BA.1.1.1,12,10,2,0.77,0.001,0.77,0.0,0.769,0.77
B.1.177,2,0,0,,,,,,
BA.1.17,11,9,2,0.77,0.001,0.77,0.0,0.769,0.77
B.1,2,0,0,,,,,,
B.1.1,5,3,2,0.77,0.001,0.77,0.0,0.769,0.77
BA.1.1,12,10,2,0.77,0.001,0.77,0.0,0.769,0.77
AY.122,24,0,0,,,,,,
Non_variant,154,129,25,0.753,0.077,0.774,0.006,0.544,0.844
