Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21333854,41,0.599,0.083,0.583,0.007,0.5,0.821,4.067431168989059e-17
B.1.617.2,0,nan,nan,,,,,
AY.127,9,0.448,0.132,,,,,
BA.1,,,,,,,,
BA.2.36,,,,,,,,
AY.124,9,0.448,0.132,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,9,0.448,0.132,,,,,
BA.4,,,,,,,,
AY.122,9,0.448,0.132,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,,,,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,,,,,,,,
No_variant,32,0.596,0.085,,,,,
