Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
43464908,56,0.697,0.098,0.699,0.01,0.503,0.842,3.3838113974462495e-40
B.1.617.2,0,nan,nan,,,,,
AY.127,6,0.622,0.23,,,,,
BA.1,3,0.436,0.146,,,,,
BA.2.36,2,0.494,0.149,,,,,
AY.124,6,0.622,0.23,,,,,
BA.1.1.1,3,0.436,0.146,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,3,0.436,0.146,,,,,
AY.43,5,0.682,0.197,,,,,
BA.4,2,0.494,0.149,,,,,
AY.122,5,0.682,0.197,,,,,
B.1.1.7,3,0.587,0.096,,,,,
BA.1.1,3,0.436,0.146,,,,,
BA.5.1,2,0.494,0.149,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,2,0.494,0.149,,,,,
BA.1.17,3,0.436,0.146,,,,,
No_variant,47,0.699,0.097,,,,,
