Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21322985,64,0.689,0.095,0.679,0.009,0.503,0.882,1.1511650065207795e-45
B.1.617.2,0,nan,nan,,,,,
AY.127,23,0.708,0.112,,,,,
BA.1,6,0.599,0.292,,,,,
BA.2.36,7,0.636,0.284,,,,,
AY.124,23,0.708,0.112,,,,,
BA.1.1.1,6,0.599,0.292,,,,,
B.1,0,nan,nan,,,,,
C.39,,,,,,,,
BA.3,6,0.599,0.292,,,,,
AY.43,25,0.702,0.111,,,,,
BA.4,7,0.605,0.266,,,,,
AY.122,23,0.708,0.112,,,,,
B.1.1.7,15,0.399,0.182,,,,,
BA.1.1,6,0.599,0.292,,,,,
BA.5.1,8,0.639,0.263,,,,,
B.1.1,,,,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,7,0.636,0.284,,,,,
BA.1.17,6,0.599,0.292,,,,,
No_variant,25,0.685,0.071,,,,,
