Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22158904,182,162,20,0.72,0.097,0.738,0.009,0.525,0.844
BA.3,38,35,3,0.576,0.083,0.632,0.007,0.459,0.637
AY.43,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
B.1.1.7,7,0,0,,,,,,
BA.4,45,40,5,0.607,0.182,0.637,0.033,0.343,0.81
AY.127,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
BA.2,49,44,5,0.607,0.182,0.637,0.033,0.343,0.81
BA.5.1,44,39,5,0.607,0.182,0.637,0.033,0.343,0.81
C.39,5,0,0,,,,,,
BA.1,36,35,1,0.632,0.0,0.632,0.0,0.632,0.632
B.1.617.2,8,7,1,0.81,0.0,0.81,0.0,0.81,0.81
AY.124,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
BA.2.36,49,44,5,0.607,0.182,0.637,0.033,0.343,0.81
BA.1.1.1,37,35,2,0.447,0.185,0.447,0.034,0.262,0.632
B.1.177,2,0,0,,,,,,
BA.1.17,37,36,1,0.632,0.0,0.632,0.0,0.632,0.632
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,37,35,2,0.447,0.185,0.447,0.034,0.262,0.632
AY.122,10,9,1,0.81,0.0,0.81,0.0,0.81,0.81
Non_variant,123,110,13,0.738,0.097,0.756,0.009,0.525,0.844
