Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21333854,257,216,41,0.599,0.083,0.583,0.007,0.5,0.821
BA.3,7,6,1,0.391,0.0,0.391,0.0,0.391,0.391
AY.43,27,19,8,0.442,0.13,0.41,0.017,0.29,0.693
B.1.1.7,6,0,0,,,,,,
BA.4,9,8,1,0.391,0.0,0.391,0.0,0.391,0.391
AY.127,25,17,8,0.442,0.13,0.41,0.017,0.29,0.693
BA.2,9,8,1,0.391,0.0,0.391,0.0,0.391,0.391
BA.5.1,10,9,1,0.391,0.0,0.391,0.0,0.391,0.391
C.39,3,0,0,,,,,,
BA.1,8,7,1,0.391,0.0,0.391,0.0,0.391,0.391
B.1.617.2,2,0,0,,,,,,
AY.124,25,17,8,0.442,0.13,0.41,0.017,0.29,0.693
BA.2.36,9,8,1,0.391,0.0,0.391,0.0,0.391,0.391
BA.1.1.1,9,8,1,0.391,0.0,0.391,0.0,0.391,0.391
B.1.177,2,0,0,,,,,,
BA.1.17,8,7,1,0.391,0.0,0.391,0.0,0.391,0.391
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,9,8,1,0.391,0.0,0.391,0.0,0.391,0.391
AY.122,25,17,8,0.442,0.13,0.41,0.017,0.29,0.693
Non_variant,225,192,33,0.593,0.085,0.579,0.007,0.5,0.821
