Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21281572,192,132,60,0.604,0.075,0.59,0.006,0.502,0.796
BA.3,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
AY.43,7,3,4,0.476,0.122,0.462,0.015,0.332,0.649
B.1.1.7,6,4,2,0.421,0.05,0.421,0.002,0.371,0.471
BA.4,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
AY.127,9,5,4,0.476,0.122,0.462,0.015,0.332,0.649
BA.2,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
BA.5.1,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
C.39,2,0,0,,,,,,
BA.1,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
B.1.617.2,2,0,0,,,,,,
AY.124,8,4,4,0.476,0.122,0.462,0.015,0.332,0.649
BA.2.36,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
BA.1.1.1,8,5,3,0.438,0.078,0.396,0.006,0.371,0.547
B.1.177,2,0,0,,,,,,
BA.1.17,7,5,2,0.384,0.013,0.384,0.0,0.371,0.396
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,8,5,3,0.438,0.078,0.396,0.006,0.371,0.547
AY.122,7,3,4,0.476,0.122,0.462,0.015,0.332,0.649
Non_variant,177,124,53,0.605,0.078,0.584,0.006,0.502,0.796
