Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21158721,33,26,7,0.735,0.052,0.731,0.003,0.63,0.821
BA.3,3,0,0,,,,,,
AY.43,1,0,0,,,,,,
B.1.1.7,8,0,0,,,,,,
BA.4,1,0,0,,,,,,
AY.127,1,0,0,,,,,,
BA.2,3,0,0,,,,,,
BA.5.1,3,0,0,,,,,,
C.39,3,0,0,,,,,,
BA.1,3,0,0,,,,,,
B.1.617.2,1,0,0,,,,,,
AY.124,1,0,0,,,,,,
BA.2.36,3,0,0,,,,,,
BA.1.1.1,3,0,0,,,,,,
B.1.177,0,0,0,,,,,,
BA.1.17,3,0,0,,,,,,
B.1,0,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,3,0,0,,,,,,
AY.122,1,0,0,,,,,,
Non_variant,25,18,7,0.735,0.052,0.731,0.003,0.63,0.821
