Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
40433710,119,50,69,0.592,0.071,0.584,0.005,0.501,0.824
BA.3,11,4,7,0.435,0.186,0.433,0.035,0.216,0.785
AY.43,25,2,23,0.471,0.091,0.443,0.008,0.348,0.785
B.1.1.7,19,2,17,0.506,0.144,0.526,0.021,0.216,0.785
BA.4,10,3,7,0.431,0.109,0.438,0.012,0.22,0.583
AY.127,26,3,23,0.471,0.091,0.443,0.008,0.348,0.785
BA.2,11,3,8,0.448,0.178,0.438,0.032,0.216,0.785
BA.5.1,12,3,9,0.447,0.167,0.438,0.028,0.216,0.785
C.39,5,2,3,0.407,0.267,0.22,0.071,0.216,0.785
BA.1,11,4,7,0.435,0.186,0.433,0.035,0.216,0.785
B.1.617.2,2,0,0,,,,,,
AY.124,29,3,26,0.473,0.094,0.443,0.009,0.348,0.785
BA.2.36,11,3,8,0.448,0.178,0.438,0.032,0.216,0.785
BA.1.1.1,11,4,7,0.435,0.186,0.433,0.035,0.216,0.785
B.1.177,2,0,0,,,,,,
BA.1.17,11,4,7,0.435,0.186,0.433,0.035,0.216,0.785
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.407,0.267,0.22,0.071,0.216,0.785
BA.1.1,11,4,7,0.435,0.186,0.433,0.035,0.216,0.785
AY.122,25,2,23,0.471,0.091,0.443,0.008,0.348,0.785
Non_variant,74,46,28,0.602,0.069,0.589,0.005,0.503,0.824
