Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21234044,219,165,54,0.683,0.101,0.685,0.01,0.5,0.848
BA.3,6,0,0,,,,,,
AY.43,4,3,1,0.361,0.0,0.361,0.0,0.361,0.361
B.1.1.7,13,8,5,0.549,0.064,0.575,0.004,0.47,0.636
BA.4,4,0,0,,,,,,
AY.127,4,3,1,0.361,0.0,0.361,0.0,0.361,0.361
BA.2,6,0,0,,,,,,
BA.5.1,6,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,6,0,0,,,,,,
B.1.617.2,2,0,0,,,,,,
AY.124,4,3,1,0.361,0.0,0.361,0.0,0.361,0.361
BA.2.36,6,0,0,,,,,,
BA.1.1.1,6,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,6,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,6,0,0,,,,,,
AY.122,4,3,1,0.361,0.0,0.361,0.0,0.361,0.361
Non_variant,205,157,48,0.696,0.099,0.708,0.01,0.5,0.848
