Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21253926,49,0.729,0.108,0.75,0.012,0.504,0.894,2.298688847028148e-37
B.1.617.2,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.1,,,,,,,,
BA.2.36,,,,,,,,
AY.124,0,nan,nan,,,,,
BA.1.1.1,,,,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,,,,,,,,
AY.43,0,nan,nan,,,,,
BA.4,,,,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,9,0.773,0.1,,,,,
BA.1.1,,,,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,,,,,,,,
No_variant,40,0.719,0.108,,,,,
