Lineage,Total_HTZ,mean,std,p_value
21296678,50,0.781,0.072,4.622260865457371e-61
BA.3,5,0.563,0.334,
AY.43,14,0.743,0.16,
B.1.1.7,11,0.32,0.251,
BA.4,3,0.609,0.356,
AY.127,14,0.743,0.16,
BA.2,5,0.563,0.334,
BA.5.1,5,0.563,0.334,
C.39,3,0.397,0.342,
BA.1,5,0.563,0.334,
B.1.617.2,0,nan,nan,
AY.124,17,0.764,0.152,
BA.2.36,5,0.563,0.334,
BA.1.1.1,5,0.563,0.334,
B.1.177,0,nan,nan,
BA.1.17,5,0.563,0.334,
B.1,0,nan,nan,
B.1.1,3,0.397,0.342,
BA.1.1,5,0.563,0.334,
AY.122,14,0.743,0.16,
No_variant,24,0.769,0.074,
