Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21138364,267,259,8,0.793,0.054,0.808,0.003,0.705,0.848
BA.3,17,16,1,0.216,0.0,0.216,0.0,0.216,0.216
AY.43,6,0,0,,,,,,
B.1.1.7,19,0,0,,,,,,
BA.4,20,18,2,0.193,0.023,0.192,0.001,0.169,0.216
AY.127,6,0,0,,,,,,
BA.2,20,18,2,0.193,0.023,0.192,0.001,0.169,0.216
BA.5.1,22,20,2,0.193,0.023,0.192,0.001,0.169,0.216
C.39,5,0,0,,,,,,
BA.1,15,14,1,0.216,0.0,0.216,0.0,0.216,0.216
B.1.617.2,6,0,0,,,,,,
AY.124,6,0,0,,,,,,
BA.2.36,20,18,2,0.193,0.023,0.192,0.001,0.169,0.216
BA.1.1.1,15,14,1,0.216,0.0,0.216,0.0,0.216,0.216
B.1.177,2,0,0,,,,,,
BA.1.17,15,14,1,0.216,0.0,0.216,0.0,0.216,0.216
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,15,14,1,0.216,0.0,0.216,0.0,0.216,0.216
AY.122,6,0,0,,,,,,
Non_variant,233,227,6,0.788,0.06,0.805,0.004,0.705,0.848
