Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
40428416,66,0.556,0.058,0.546,0.003,0.5,0.841,1.6595788092697758e-20
B.1.617.2,0,nan,nan,,,,,
AY.127,14,0.526,0.068,,,,,
BA.1,6,0.496,0.143,,,,,
BA.2.36,7,0.504,0.132,,,,,
AY.124,15,0.526,0.065,,,,,
BA.1.1.1,6,0.496,0.143,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.444,0.204,,,,,
BA.3,6,0.496,0.143,,,,,
AY.43,14,0.526,0.068,,,,,
BA.4,6,0.507,0.089,,,,,
AY.122,14,0.526,0.068,,,,,
B.1.1.7,17,0.47,0.093,,,,,
BA.1.1,6,0.496,0.143,,,,,
BA.5.1,8,0.505,0.122,,,,,
B.1.1,3,0.444,0.204,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,7,0.504,0.132,,,,,
BA.1.17,6,0.496,0.143,,,,,
No_variant,36,0.551,0.064,,,,,
