Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21240639,40,0.729,0.097,0.746,0.009,0.515,0.893,1.3501179069471385e-33
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,2,0.453,0.127,,,,,
BA.2.36,,,,,,,,
AY.124,,,,,,,,
BA.1.1.1,2,0.453,0.127,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.453,0.127,,,,,
AY.43,0,nan,nan,,,,,
BA.4,,,,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,5,0.296,0.089,,,,,
BA.1.1,2,0.453,0.127,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,2,0.453,0.127,,,,,
No_variant,34,0.738,0.095,,,,,
