Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21052176,54,53,1,0.528,0.0,0.528,0.0,0.528,0.528
BA.3,2,0,0,,,,,,
AY.43,3,0,0,,,,,,
B.1.1.7,2,0,0,,,,,,
BA.4,2,0,0,,,,,,
AY.127,3,0,0,,,,,,
BA.2,2,0,0,,,,,,
BA.5.1,2,0,0,,,,,,
C.39,2,0,0,,,,,,
BA.1,2,0,0,,,,,,
B.1.617.2,3,0,0,,,,,,
AY.124,3,0,0,,,,,,
BA.2.36,2,0,0,,,,,,
BA.1.1.1,2,0,0,,,,,,
B.1.177,4,0,0,,,,,,
BA.1.17,2,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,2,0,0,,,,,,
AY.122,3,0,0,,,,,,
Non_variant,49,48,1,0.528,0.0,0.528,0.0,0.528,0.528
