Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21288015,74,0.669,0.122,0.638,0.015,0.5,0.845,6.37316702203777e-36
B.1.617.2,0,nan,nan,,,,,
AY.127,21,0.488,0.105,,,,,
BA.1,7,0.435,0.186,,,,,
BA.2.36,7,0.447,0.187,,,,,
AY.124,21,0.488,0.105,,,,,
BA.1.1.1,7,0.435,0.186,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.304,0.218,,,,,
BA.3,7,0.435,0.186,,,,,
AY.43,20,0.491,0.107,,,,,
BA.4,6,0.482,0.156,,,,,
AY.122,20,0.491,0.107,,,,,
B.1.1.7,5,0.405,0.21,,,,,
BA.1.1,7,0.435,0.186,,,,,
BA.5.1,8,0.453,0.174,,,,,
B.1.1,3,0.304,0.218,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,7,0.447,0.187,,,,,
BA.1.17,7,0.435,0.186,,,,,
No_variant,50,0.701,0.124,,,,,
