Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22061262,200,168,32,0.794,0.095,0.81,0.009,0.511,0.9
BA.3,40,35,5,0.4,0.294,0.205,0.087,0.131,0.886
AY.43,8,0,0,,,,,,
B.1.1.7,7,0,0,,,,,,
BA.4,48,43,5,0.64,0.264,0.708,0.07,0.154,0.886
AY.127,9,8,1,0.205,0.0,0.205,0.0,0.205,0.205
BA.2,49,45,4,0.761,0.116,0.78,0.013,0.598,0.886
BA.5.1,48,44,4,0.761,0.116,0.78,0.013,0.598,0.886
C.39,5,0,0,,,,,,
BA.1,39,35,4,0.216,0.081,0.194,0.006,0.131,0.348
B.1.617.2,7,0,0,,,,,,
AY.124,9,8,1,0.205,0.0,0.205,0.0,0.205,0.205
BA.2.36,49,45,4,0.761,0.116,0.78,0.013,0.598,0.886
BA.1.1.1,39,35,4,0.216,0.081,0.194,0.006,0.131,0.348
B.1.177,2,0,0,,,,,,
BA.1.17,40,36,4,0.216,0.081,0.194,0.006,0.131,0.348
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,39,35,4,0.216,0.081,0.194,0.006,0.131,0.348
AY.122,8,0,0,,,,,,
Non_variant,137,114,23,0.8,0.093,0.808,0.009,0.511,0.9
