Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21341402,82,51,31,0.552,0.06,0.532,0.004,0.502,0.801
BA.3,6,5,1,0.523,0.0,0.523,0.0,0.523,0.523
AY.43,25,15,10,0.52,0.1,0.492,0.01,0.413,0.801
B.1.1.7,4,0,0,,,,,,
BA.4,7,6,1,0.523,0.0,0.523,0.0,0.523,0.523
AY.127,25,15,10,0.52,0.1,0.492,0.01,0.413,0.801
BA.2,7,6,1,0.523,0.0,0.523,0.0,0.523,0.523
BA.5.1,8,7,1,0.523,0.0,0.523,0.0,0.523,0.523
C.39,3,0,0,,,,,,
BA.1,6,5,1,0.523,0.0,0.523,0.0,0.523,0.523
B.1.617.2,2,0,0,,,,,,
AY.124,25,15,10,0.52,0.1,0.492,0.01,0.413,0.801
BA.2.36,7,6,1,0.523,0.0,0.523,0.0,0.523,0.523
BA.1.1.1,6,5,1,0.523,0.0,0.523,0.0,0.523,0.523
B.1.177,2,0,0,,,,,,
BA.1.17,6,5,1,0.523,0.0,0.523,0.0,0.523,0.523
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,6,5,1,0.523,0.0,0.523,0.0,0.523,0.523
AY.122,25,15,10,0.52,0.1,0.492,0.01,0.413,0.801
Non_variant,57,36,21,0.549,0.044,0.532,0.002,0.502,0.692
