Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21410922,480,444,36,0.672,0.081,0.679,0.007,0.512,0.831
BA.3,9,8,1,0.647,0.0,0.647,0.0,0.647,0.647
AY.43,11,10,1,0.233,0.0,0.233,0.0,0.233,0.233
B.1.1.7,7,0,0,,,,,,
BA.4,7,0,0,,,,,,
AY.127,11,9,2,0.44,0.207,0.44,0.043,0.233,0.647
BA.2,9,0,0,,,,,,
BA.5.1,9,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,11,10,1,0.647,0.0,0.647,0.0,0.647,0.647
B.1.617.2,7,6,1,0.233,0.0,0.233,0.0,0.233,0.233
AY.124,11,9,2,0.44,0.207,0.44,0.043,0.233,0.647
BA.2.36,9,0,0,,,,,,
BA.1.1.1,11,10,1,0.647,0.0,0.647,0.0,0.647,0.647
B.1.177,2,0,0,,,,,,
BA.1.17,11,10,1,0.647,0.0,0.647,0.0,0.647,0.647
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,11,10,1,0.647,0.0,0.647,0.0,0.647,0.647
AY.122,10,9,1,0.233,0.0,0.233,0.0,0.233,0.233
Non_variant,461,427,34,0.67,0.082,0.679,0.007,0.512,0.831
