Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21271257,159,137,22,0.673,0.106,0.686,0.011,0.509,0.829
BA.3,6,0,0,,,,,,
AY.43,4,3,1,0.228,0.0,0.228,0.0,0.228,0.228
B.1.1.7,6,0,0,,,,,,
BA.4,3,0,0,,,,,,
AY.127,5,4,1,0.228,0.0,0.228,0.0,0.228,0.228
BA.2,5,0,0,,,,,,
BA.5.1,5,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,6,0,0,,,,,,
B.1.617.2,4,3,1,0.228,0.0,0.228,0.0,0.228,0.228
AY.124,5,4,1,0.228,0.0,0.228,0.0,0.228,0.228
BA.2.36,5,0,0,,,,,,
BA.1.1.1,6,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,6,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,6,0,0,,,,,,
AY.122,4,3,1,0.228,0.0,0.228,0.0,0.228,0.228
Non_variant,151,130,21,0.669,0.107,0.684,0.011,0.509,0.829
