Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22135255-BIS,74,0.823,0.115,0.858,0.013,0.531,0.949,1.9340043854302445e-71
B.1.617.2,0,nan,nan,,,,,
AY.127,11,0.738,0.206,,,,,
BA.1,14,0.31,0.283,,,,,
BA.2.36,24,0.289,0.258,,,,,
AY.124,11,0.738,0.206,,,,,
BA.1.1.1,14,0.31,0.283,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.373,0.44,,,,,
BA.3,19,0.265,0.257,,,,,
AY.43,11,0.738,0.206,,,,,
BA.4,22,0.301,0.257,,,,,
AY.122,11,0.738,0.206,,,,,
B.1.1.7,4,0.477,0.416,,,,,
BA.1.1,14,0.31,0.283,,,,,
BA.5.1,24,0.318,0.276,,,,,
B.1.1,3,0.373,0.44,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,24,0.289,0.258,,,,,
BA.1.17,14,0.31,0.283,,,,,
No_variant,42,0.836,0.119,,,,,
