Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21296708,61,0.708,0.109,0.722,0.012,0.501,0.893,1.2489918972754811e-41
B.1.617.2,0,nan,nan,,,,,
AY.127,13,0.458,0.23,,,,,
BA.1,2,0.468,0.429,,,,,
BA.2.36,3,0.38,0.339,,,,,
AY.124,13,0.458,0.23,,,,,
BA.1.1.1,2,0.468,0.429,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,3,0.38,0.339,,,,,
AY.43,13,0.458,0.23,,,,,
BA.4,4,0.508,0.377,,,,,
AY.122,13,0.458,0.23,,,,,
B.1.1.7,2,0.739,0.045,,,,,
BA.1.1,2,0.468,0.429,,,,,
BA.5.1,4,0.508,0.377,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.38,0.339,,,,,
BA.1.17,2,0.468,0.429,,,,,
No_variant,46,0.71,0.108,,,,,
