Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21461036,182,129,53,0.693,0.099,0.687,0.01,0.521,0.849
BA.3,7,5,2,0.504,0.17,0.504,0.029,0.334,0.674
AY.43,4,3,1,0.459,0.0,0.459,0.0,0.459,0.459
B.1.1.7,7,6,1,0.334,0.0,0.334,0.0,0.334,0.334
BA.4,4,3,1,0.334,0.0,0.334,0.0,0.334,0.334
AY.127,5,3,2,0.567,0.108,0.566,0.012,0.459,0.674
BA.2,6,5,1,0.334,0.0,0.334,0.0,0.334,0.334
BA.5.1,6,5,1,0.334,0.0,0.334,0.0,0.334,0.334
C.39,5,0,0,,,,,,
BA.1,7,5,2,0.504,0.17,0.504,0.029,0.334,0.674
B.1.617.2,2,0,0,,,,,,
AY.124,5,3,2,0.567,0.108,0.566,0.012,0.459,0.674
BA.2.36,6,5,1,0.334,0.0,0.334,0.0,0.334,0.334
BA.1.1.1,7,5,2,0.504,0.17,0.504,0.029,0.334,0.674
B.1.177,2,0,0,,,,,,
BA.1.17,7,5,2,0.504,0.17,0.504,0.029,0.334,0.674
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,7,5,2,0.504,0.17,0.504,0.029,0.334,0.674
AY.122,4,3,1,0.459,0.0,0.459,0.0,0.459,0.459
Non_variant,173,123,50,0.697,0.099,0.694,0.01,0.521,0.849
