Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21296445,88,47,41,0.701,0.097,0.68,0.009,0.511,0.848
BA.3,8,4,4,0.405,0.12,0.363,0.015,0.29,0.604
AY.43,18,4,14,0.461,0.186,0.386,0.035,0.193,0.752
B.1.1.7,5,3,2,0.341,0.051,0.341,0.003,0.29,0.392
BA.4,9,5,4,0.419,0.12,0.363,0.014,0.328,0.622
AY.127,18,4,14,0.487,0.179,0.466,0.032,0.193,0.752
BA.2,9,5,4,0.336,0.036,0.331,0.001,0.29,0.392
BA.5.1,9,4,5,0.393,0.119,0.334,0.014,0.29,0.622
C.39,3,2,1,0.29,0.0,0.29,0.0,0.29,0.29
BA.1,9,4,5,0.414,0.109,0.392,0.012,0.29,0.604
B.1.617.2,2,0,0,,,,,,
AY.124,18,4,14,0.487,0.179,0.466,0.032,0.193,0.752
BA.2.36,9,5,4,0.336,0.036,0.331,0.001,0.29,0.392
BA.1.1.1,10,5,5,0.414,0.109,0.392,0.012,0.29,0.604
B.1.177,2,0,0,,,,,,
BA.1.17,9,4,5,0.414,0.109,0.392,0.012,0.29,0.604
B.1,2,0,0,,,,,,
B.1.1,3,2,1,0.29,0.0,0.29,0.0,0.29,0.29
BA.1.1,10,5,5,0.414,0.109,0.392,0.012,0.29,0.604
AY.122,17,4,13,0.478,0.183,0.392,0.033,0.193,0.752
Non_variant,65,40,25,0.724,0.104,0.774,0.011,0.511,0.848
