Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22236812,163,80,83,0.663,0.086,0.66,0.007,0.501,0.799
BA.3,40,16,24,0.501,0.173,0.537,0.03,0.25,0.772
AY.43,28,8,20,0.441,0.146,0.417,0.021,0.233,0.685
B.1.1.7,7,3,4,0.473,0.16,0.5,0.025,0.26,0.632
BA.4,41,16,25,0.507,0.166,0.528,0.028,0.253,0.772
AY.127,27,8,19,0.45,0.144,0.456,0.021,0.233,0.685
BA.2,42,15,27,0.491,0.167,0.52,0.028,0.25,0.772
BA.5.1,45,18,27,0.507,0.163,0.528,0.027,0.253,0.772
C.39,5,2,3,0.544,0.117,0.622,0.014,0.378,0.632
BA.1,38,13,25,0.481,0.187,0.528,0.035,0.201,0.772
B.1.617.2,15,4,11,0.51,0.134,0.477,0.018,0.303,0.685
AY.124,27,8,19,0.45,0.144,0.456,0.021,0.233,0.685
BA.2.36,42,15,27,0.491,0.167,0.52,0.028,0.25,0.772
BA.1.1.1,39,13,26,0.488,0.186,0.537,0.035,0.201,0.772
B.1.177,2,0,0,,,,,,
BA.1.17,39,13,26,0.472,0.188,0.522,0.035,0.201,0.772
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.544,0.117,0.622,0.014,0.378,0.632
BA.1.1,39,13,26,0.488,0.186,0.537,0.035,0.201,0.772
AY.122,26,7,19,0.45,0.144,0.456,0.021,0.233,0.685
Non_variant,88,56,32,0.674,0.093,0.696,0.009,0.501,0.798
