Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
22048429-BIS,1,0.944,0.0,0.944,0.0,0.944,0.944,nan
B.1.617.2,0,nan,nan,,,,,
AY.127,0,nan,nan,,,,,
BA.1,0,nan,nan,,,,,
BA.2.36,0,nan,nan,,,,,
AY.124,0,nan,nan,,,,,
BA.1.1.1,0,nan,nan,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,0,nan,nan,,,,,
AY.43,0,nan,nan,,,,,
BA.4,0,nan,nan,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,0,nan,nan,,,,,
BA.5.1,0,nan,nan,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,0,nan,nan,,,,,
BA.1.17,0,nan,nan,,,,,
No_variant,1,0.944,0.0,,,,,
