Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21322322,606,547,59,0.595,0.081,0.576,0.007,0.507,0.81
BA.3,9,5,4,0.565,0.144,0.506,0.021,0.44,0.809
AY.43,25,4,21,0.554,0.128,0.538,0.016,0.333,0.81
B.1.1.7,5,2,3,0.58,0.163,0.491,0.027,0.44,0.809
BA.4,10,5,5,0.538,0.116,0.491,0.013,0.44,0.763
AY.127,27,6,21,0.554,0.128,0.538,0.016,0.333,0.81
BA.2,10,5,5,0.605,0.151,0.52,0.023,0.44,0.809
BA.5.1,11,5,6,0.583,0.146,0.506,0.021,0.44,0.809
C.39,3,2,1,0.809,0.0,0.809,0.0,0.809,0.809
BA.1,9,5,4,0.565,0.144,0.506,0.021,0.44,0.809
B.1.617.2,2,0,0,,,,,,
AY.124,26,5,21,0.554,0.128,0.538,0.016,0.333,0.81
BA.2.36,10,5,5,0.605,0.151,0.52,0.023,0.44,0.809
BA.1.1.1,10,5,5,0.542,0.137,0.491,0.019,0.44,0.809
B.1.177,2,0,0,,,,,,
BA.1.17,9,5,4,0.565,0.144,0.506,0.021,0.44,0.809
B.1,2,0,0,,,,,,
B.1.1,3,2,1,0.809,0.0,0.809,0.0,0.809,0.809
BA.1.1,10,5,5,0.542,0.137,0.491,0.019,0.44,0.809
AY.122,25,4,21,0.554,0.128,0.538,0.016,0.333,0.81
Non_variant,575,539,36,0.591,0.078,0.575,0.006,0.507,0.803
