Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21331783,46,0.724,0.096,0.746,0.009,0.5,0.877,3.8206645823877785e-38
B.1.617.2,0,nan,nan,,,,,
AY.127,17,0.612,0.216,,,,,
BA.1,2,0.636,0.071,,,,,
BA.2.36,3,0.71,0.138,,,,,
AY.124,18,0.592,0.226,,,,,
BA.1.1.1,2,0.636,0.071,,,,,
B.1,0,nan,nan,,,,,
C.39,,,,,,,,
BA.3,2,0.636,0.071,,,,,
AY.43,17,0.612,0.216,,,,,
BA.4,2,0.722,0.193,,,,,
AY.122,18,0.594,0.224,,,,,
B.1.1.7,3,0.491,0.257,,,,,
BA.1.1,2,0.636,0.071,,,,,
BA.5.1,3,0.71,0.138,,,,,
B.1.1,,,,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.71,0.138,,,,,
BA.1.17,2,0.636,0.071,,,,,
No_variant,26,0.726,0.098,,,,,
