Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21292118,57,0.696,0.118,0.7,0.014,0.507,0.889,4.518557741797998e-34
B.1.617.2,0,nan,nan,,,,,
AY.127,7,0.458,0.189,,,,,
BA.1,2,0.889,0.0,,,,,
BA.2.36,3,0.651,0.413,,,,,
AY.124,7,0.458,0.189,,,,,
BA.1.1.1,2,0.889,0.0,,,,,
B.1,0,nan,nan,,,,,
C.39,2,0.889,0.0,,,,,
BA.3,2,0.889,0.0,,,,,
AY.43,7,0.458,0.189,,,,,
BA.4,2,0.531,0.506,,,,,
AY.122,7,0.458,0.189,,,,,
B.1.1.7,3,0.68,0.361,,,,,
BA.1.1,2,0.889,0.0,,,,,
BA.5.1,3,0.651,0.413,,,,,
B.1.1,2,0.889,0.0,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,3,0.651,0.413,,,,,
BA.1.17,2,0.889,0.0,,,,,
No_variant,47,0.693,0.117,,,,,
