Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21307395,104,67,37,0.552,0.06,0.535,0.004,0.501,0.823
BA.3,8,5,3,0.547,0.064,0.547,0.004,0.469,0.625
AY.43,25,15,10,0.539,0.098,0.512,0.01,0.465,0.823
B.1.1.7,4,0,0,,,,,,
BA.4,8,6,2,0.508,0.039,0.508,0.002,0.469,0.547
AY.127,26,15,11,0.547,0.096,0.513,0.009,0.465,0.823
BA.2,8,6,2,0.508,0.039,0.508,0.002,0.469,0.547
BA.5.1,9,7,2,0.508,0.039,0.508,0.002,0.469,0.547
C.39,3,0,0,,,,,,
BA.1,8,5,3,0.547,0.064,0.547,0.004,0.469,0.625
B.1.617.2,2,0,0,,,,,,
AY.124,26,15,11,0.547,0.096,0.513,0.009,0.465,0.823
BA.2.36,8,6,2,0.508,0.039,0.508,0.002,0.469,0.547
BA.1.1.1,8,5,3,0.547,0.064,0.547,0.004,0.469,0.625
B.1.177,2,0,0,,,,,,
BA.1.17,8,5,3,0.547,0.064,0.547,0.004,0.469,0.625
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,8,5,3,0.547,0.064,0.547,0.004,0.469,0.625
AY.122,25,15,10,0.539,0.098,0.512,0.01,0.465,0.823
Non_variant,77,52,25,0.549,0.042,0.54,0.002,0.501,0.694
