Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21253926,179,134,45,0.716,0.103,0.739,0.011,0.504,0.848
BA.3,9,0,0,,,,,,
AY.43,5,0,0,,,,,,
B.1.1.7,19,12,7,0.742,0.084,0.791,0.007,0.593,0.824
BA.4,6,0,0,,,,,,
AY.127,6,0,0,,,,,,
BA.2,8,0,0,,,,,,
BA.5.1,8,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,9,0,0,,,,,,
B.1.617.2,2,0,0,,,,,,
AY.124,6,0,0,,,,,,
BA.2.36,8,0,0,,,,,,
BA.1.1.1,9,0,0,,,,,,
B.1.177,2,0,0,,,,,,
BA.1.17,9,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,9,0,0,,,,,,
AY.122,5,0,0,,,,,,
Non_variant,158,120,38,0.711,0.105,0.708,0.011,0.504,0.848
