Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22061262,200,186,14,0.71,0.082,0.723,0.007,0.511,0.796
BA.3,40,38,2,0.401,0.197,0.401,0.039,0.205,0.598
AY.43,8,0,0,,,,,,
B.1.1.7,7,0,0,,,,,,
BA.4,48,46,2,0.653,0.055,0.653,0.003,0.598,0.708
AY.127,9,8,1,0.205,0.0,0.205,0.0,0.205,0.205
BA.2,49,47,2,0.653,0.055,0.653,0.003,0.598,0.708
BA.5.1,48,46,2,0.653,0.055,0.653,0.003,0.598,0.708
C.39,5,0,0,,,,,,
BA.1,39,37,2,0.276,0.071,0.276,0.005,0.205,0.348
B.1.617.2,7,0,0,,,,,,
AY.124,9,8,1,0.205,0.0,0.205,0.0,0.205,0.205
BA.2.36,49,47,2,0.653,0.055,0.653,0.003,0.598,0.708
BA.1.1.1,39,37,2,0.276,0.071,0.276,0.005,0.205,0.348
B.1.177,2,0,0,,,,,,
BA.1.17,40,38,2,0.276,0.071,0.276,0.005,0.205,0.348
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,39,37,2,0.276,0.071,0.276,0.005,0.205,0.348
AY.122,8,0,0,,,,,,
Non_variant,137,127,10,0.719,0.084,0.732,0.007,0.511,0.796
