Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21354701,340,297,43,0.709,0.094,0.717,0.009,0.504,0.838
BA.3,8,4,4,0.423,0.252,0.346,0.063,0.195,0.805
AY.43,26,12,14,0.534,0.196,0.526,0.038,0.162,0.805
B.1.1.7,6,3,3,0.399,0.287,0.198,0.082,0.195,0.805
BA.4,8,5,3,0.463,0.208,0.493,0.043,0.195,0.702
AY.127,24,12,12,0.532,0.191,0.526,0.037,0.162,0.805
BA.2,9,4,5,0.479,0.251,0.493,0.063,0.195,0.805
BA.5.1,10,5,5,0.479,0.251,0.493,0.063,0.195,0.805
C.39,5,2,3,0.399,0.287,0.198,0.082,0.195,0.805
BA.1,9,5,4,0.423,0.252,0.346,0.063,0.195,0.805
B.1.617.2,2,0,0,,,,,,
AY.124,24,12,12,0.532,0.191,0.526,0.037,0.162,0.805
BA.2.36,9,4,5,0.479,0.251,0.493,0.063,0.195,0.805
BA.1.1.1,9,5,4,0.423,0.252,0.346,0.063,0.195,0.805
B.1.177,2,0,0,,,,,,
BA.1.17,9,5,4,0.423,0.252,0.346,0.063,0.195,0.805
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.399,0.287,0.198,0.082,0.195,0.805
BA.1.1,9,5,4,0.423,0.252,0.346,0.063,0.195,0.805
AY.122,24,12,12,0.532,0.191,0.526,0.037,0.162,0.805
Non_variant,311,284,27,0.721,0.088,0.718,0.008,0.504,0.832
