Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21351063,345,298,47,0.669,0.109,0.664,0.012,0.5,0.834
BA.3,8,4,4,0.427,0.103,0.463,0.011,0.255,0.528
AY.43,23,11,12,0.452,0.136,0.472,0.019,0.168,0.667
B.1.1.7,6,3,3,0.485,0.031,0.463,0.001,0.463,0.528
BA.4,8,5,3,0.462,0.168,0.463,0.028,0.255,0.667
AY.127,23,11,12,0.452,0.136,0.472,0.019,0.168,0.667
BA.2,9,4,5,0.475,0.133,0.463,0.018,0.255,0.667
BA.5.1,10,5,5,0.475,0.133,0.463,0.018,0.255,0.667
C.39,5,2,3,0.485,0.031,0.463,0.001,0.463,0.528
BA.1,8,4,4,0.427,0.103,0.463,0.011,0.255,0.528
B.1.617.2,2,0,0,,,,,,
AY.124,23,11,12,0.452,0.136,0.472,0.019,0.168,0.667
BA.2.36,9,4,5,0.475,0.133,0.463,0.018,0.255,0.667
BA.1.1.1,8,4,4,0.427,0.103,0.463,0.011,0.255,0.528
B.1.177,2,0,0,,,,,,
BA.1.17,8,4,4,0.427,0.103,0.463,0.011,0.255,0.528
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.485,0.031,0.463,0.001,0.463,0.528
BA.1.1,8,4,4,0.427,0.103,0.463,0.011,0.255,0.528
AY.122,23,11,12,0.452,0.136,0.472,0.019,0.168,0.667
Non_variant,320,287,33,0.698,0.104,0.707,0.011,0.5,0.834
