Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21042364,90,53,37,0.76,0.058,0.772,0.003,0.505,0.833
BA.3,3,0,0,,,,,,
AY.43,4,3,1,0.706,0.0,0.706,0.0,0.706,0.706
B.1.1.7,3,0,0,,,,,,
BA.4,2,0,0,,,,,,
AY.127,4,3,1,0.706,0.0,0.706,0.0,0.706,0.706
BA.2,3,0,0,,,,,,
BA.5.1,3,0,0,,,,,,
C.39,3,0,0,,,,,,
BA.1,3,0,0,,,,,,
B.1.617.2,4,3,1,0.706,0.0,0.706,0.0,0.706,0.706
AY.124,4,3,1,0.706,0.0,0.706,0.0,0.706,0.706
BA.2.36,3,0,0,,,,,,
BA.1.1.1,3,0,0,,,,,,
B.1.177,4,2,2,0.748,0.005,0.748,0.0,0.744,0.753
BA.1.17,3,0,0,,,,,,
B.1,2,0,0,,,,,,
B.1.1,3,0,0,,,,,,
BA.1.1,3,0,0,,,,,,
AY.122,4,3,1,0.706,0.0,0.706,0.0,0.706,0.706
Non_variant,84,50,34,0.762,0.059,0.776,0.004,0.505,0.833
