Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21148570,234,182,52,0.74,0.088,0.765,0.008,0.506,0.847
BA.3,9,8,1,0.176,0.0,0.176,0.0,0.176,0.176
AY.43,5,0,0,,,,,,
B.1.1.7,19,0,0,,,,,,
BA.4,6,0,0,,,,,,
AY.127,5,0,0,,,,,,
BA.2,8,0,0,,,,,,
BA.5.1,8,0,0,,,,,,
C.39,5,0,0,,,,,,
BA.1,10,9,1,0.176,0.0,0.176,0.0,0.176,0.176
B.1.617.2,5,0,0,,,,,,
AY.124,5,0,0,,,,,,
BA.2.36,8,0,0,,,,,,
BA.1.1.1,10,9,1,0.176,0.0,0.176,0.0,0.176,0.176
B.1.177,2,0,0,,,,,,
BA.1.17,10,9,1,0.176,0.0,0.176,0.0,0.176,0.176
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,10,9,1,0.176,0.0,0.176,0.0,0.176,0.176
AY.122,5,0,0,,,,,,
Non_variant,211,160,51,0.739,0.088,0.763,0.008,0.506,0.847
