Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
22236812,163,65,98,0.687,0.097,0.695,0.009,0.501,0.849
BA.3,40,9,31,0.511,0.212,0.546,0.045,0.189,0.821
AY.43,28,5,23,0.407,0.161,0.368,0.026,0.177,0.685
B.1.1.7,7,2,5,0.416,0.182,0.378,0.033,0.189,0.632
BA.4,41,9,32,0.516,0.207,0.537,0.043,0.189,0.821
AY.127,27,6,21,0.425,0.157,0.378,0.025,0.177,0.685
BA.2,42,8,34,0.503,0.206,0.524,0.042,0.189,0.821
BA.5.1,45,10,35,0.505,0.208,0.528,0.043,0.173,0.821
C.39,5,2,3,0.544,0.117,0.622,0.014,0.378,0.632
BA.1,38,9,29,0.484,0.209,0.528,0.044,0.189,0.821
B.1.617.2,15,3,12,0.483,0.156,0.469,0.024,0.189,0.685
AY.124,27,6,21,0.425,0.157,0.378,0.025,0.177,0.685
BA.2.36,42,8,34,0.503,0.206,0.524,0.042,0.189,0.821
BA.1.1.1,39,9,30,0.49,0.208,0.537,0.043,0.189,0.821
B.1.177,2,0,0,,,,,,
BA.1.17,39,9,30,0.476,0.21,0.522,0.044,0.189,0.821
B.1,2,0,0,,,,,,
B.1.1,5,2,3,0.544,0.117,0.622,0.014,0.378,0.632
BA.1.1,39,9,30,0.49,0.208,0.537,0.043,0.189,0.821
AY.122,26,5,21,0.425,0.157,0.378,0.025,0.177,0.685
Non_variant,88,51,37,0.695,0.101,0.73,0.01,0.501,0.849
