Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21065493,137,87,50,0.687,0.097,0.681,0.009,0.505,0.846
BA.3,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
AY.43,5,4,1,0.279,0.0,0.279,0.0,0.279,0.279
B.1.1.7,19,13,6,0.496,0.21,0.522,0.044,0.158,0.734
BA.4,6,5,1,0.279,0.0,0.279,0.0,0.279,0.279
AY.127,5,4,1,0.279,0.0,0.279,0.0,0.279,0.279
BA.2,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
BA.5.1,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
C.39,5,0,0,,,,,,
BA.1,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
B.1.617.2,2,0,0,,,,,,
AY.124,5,4,1,0.279,0.0,0.279,0.0,0.279,0.279
BA.2.36,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
BA.1.1.1,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
B.1.177,3,0,0,,,,,,
BA.1.17,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
B.1,2,0,0,,,,,,
B.1.1,5,0,0,,,,,,
BA.1.1,8,7,1,0.279,0.0,0.279,0.0,0.279,0.279
AY.122,5,4,1,0.279,0.0,0.279,0.0,0.279,0.279
Non_variant,116,73,43,0.688,0.095,0.677,0.009,0.505,0.846
