Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21334202,66,0.679,0.099,0.675,0.01,0.507,0.849,8.126984652300422e-43
B.1.617.2,0,nan,nan,,,,,
AY.127,10,0.501,0.203,,,,,
BA.1,2,0.504,0.202,,,,,
BA.2.36,,,,,,,,
AY.124,10,0.501,0.203,,,,,
BA.1.1.1,2,0.504,0.202,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.504,0.202,,,,,
AY.43,9,0.485,0.208,,,,,
BA.4,,,,,,,,
AY.122,9,0.485,0.208,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,2,0.504,0.202,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,2,0.504,0.202,,,,,
No_variant,56,0.682,0.098,,,,,
