Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21461036,53,0.693,0.099,0.687,0.01,0.521,0.849,3.040513488115406e-37
B.1.617.2,0,nan,nan,,,,,
AY.127,2,0.567,0.152,,,,,
BA.1,2,0.504,0.24,,,,,
BA.2.36,,,,,,,,
AY.124,2,0.567,0.152,,,,,
BA.1.1.1,2,0.504,0.24,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.504,0.24,,,,,
AY.43,,,,,,,,
BA.4,,,,,,,,
AY.122,,,,,,,,
B.1.1.7,,,,,,,,
BA.1.1,2,0.504,0.24,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,2,0.504,0.24,,,,,
No_variant,50,0.697,0.099,,,,,
