Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21307395,37,0.552,0.06,0.535,0.004,0.501,0.823,2.3014534656055953e-10
B.1.617.2,0,nan,nan,,,,,
AY.127,11,0.547,0.101,,,,,
BA.1,3,0.547,0.078,,,,,
BA.2.36,2,0.508,0.055,,,,,
AY.124,11,0.547,0.101,,,,,
BA.1.1.1,3,0.547,0.078,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,3,0.547,0.078,,,,,
AY.43,10,0.539,0.103,,,,,
BA.4,2,0.508,0.055,,,,,
AY.122,10,0.539,0.103,,,,,
B.1.1.7,0,nan,nan,,,,,
BA.1.1,3,0.547,0.078,,,,,
BA.5.1,2,0.508,0.055,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,2,0.508,0.055,,,,,
BA.1.17,3,0.547,0.078,,,,,
No_variant,25,0.549,0.042,,,,,
