Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
40433710,69,0.592,0.071,0.584,0.005,0.501,0.824,7.5132619166825e-31
B.1.617.2,0,nan,nan,,,,,
AY.127,23,0.471,0.093,,,,,
BA.1,7,0.435,0.201,,,,,
BA.2.36,8,0.448,0.19,,,,,
AY.124,26,0.473,0.096,,,,,
BA.1.1.1,7,0.435,0.201,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.407,0.327,,,,,
BA.3,7,0.435,0.201,,,,,
AY.43,23,0.471,0.093,,,,,
BA.4,7,0.431,0.118,,,,,
AY.122,23,0.471,0.093,,,,,
B.1.1.7,17,0.506,0.148,,,,,
BA.1.1,7,0.435,0.201,,,,,
BA.5.1,9,0.447,0.178,,,,,
B.1.1,3,0.407,0.327,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,8,0.448,0.19,,,,,
BA.1.17,7,0.435,0.201,,,,,
No_variant,28,0.602,0.069,,,,,
