Lineage,total_SNP,total_HOM,total_HTZ,mean,std,median,var,min,max
21173982,212,170,42,0.729,0.101,0.754,0.01,0.505,0.848
BA.3,6,4,2,0.57,0.081,0.57,0.006,0.489,0.65
AY.43,3,2,1,0.65,0.0,0.65,0.0,0.65,0.65
B.1.1.7,6,2,4,0.55,0.153,0.57,0.023,0.333,0.73
BA.4,5,3,2,0.57,0.081,0.57,0.006,0.489,0.65
AY.127,4,3,1,0.65,0.0,0.65,0.0,0.65,0.65
BA.2,5,3,2,0.57,0.081,0.57,0.006,0.489,0.65
BA.5.1,5,3,2,0.57,0.081,0.57,0.006,0.489,0.65
C.39,2,0,0,,,,,,
BA.1,7,5,2,0.57,0.081,0.57,0.006,0.489,0.65
B.1.617.2,2,0,0,,,,,,
AY.124,4,3,1,0.65,0.0,0.65,0.0,0.65,0.65
BA.2.36,5,3,2,0.57,0.081,0.57,0.006,0.489,0.65
BA.1.1.1,7,5,2,0.57,0.081,0.57,0.006,0.489,0.65
B.1.177,4,0,0,,,,,,
BA.1.17,7,5,2,0.57,0.081,0.57,0.006,0.489,0.65
B.1,2,0,0,,,,,,
B.1.1,2,0,0,,,,,,
BA.1.1,7,5,2,0.57,0.081,0.57,0.006,0.489,0.65
AY.122,3,2,1,0.65,0.0,0.65,0.0,0.65,0.65
Non_variant,201,163,38,0.739,0.098,0.773,0.01,0.505,0.848
