Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21232156,50,0.714,0.116,0.742,0.013,0.5,0.885,2.311738047653984e-33
B.1.617.2,0,nan,nan,,,,,
AY.127,,,,,,,,
BA.1,2,0.774,0.156,,,,,
BA.2.36,,,,,,,,
AY.124,,,,,,,,
BA.1.1.1,2,0.774,0.156,,,,,
B.1,0,nan,nan,,,,,
C.39,0,nan,nan,,,,,
BA.3,2,0.774,0.156,,,,,
AY.43,0,nan,nan,,,,,
BA.4,,,,,,,,
AY.122,0,nan,nan,,,,,
B.1.1.7,2,0.885,0.001,,,,,
BA.1.1,2,0.774,0.156,,,,,
BA.5.1,,,,,,,,
B.1.1,0,nan,nan,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,,,,,,,,
BA.1.17,2,0.774,0.156,,,,,
No_variant,47,0.708,0.114,,,,,
